month,county_join,county_label,state_join,state_label,settlement_count,assessment_count,,,,,
2019-11-01,Juba,Juba,CentralEquatoria,Central Equatoria,430,22,,,,,
2019-11-01,Kajo_keji,Kajo-keji,CentralEquatoria,Central Equatoria,270,13,,,,,
2019-11-01,Lainya,Lainya,CentralEquatoria,Central Equatoria,217,0,,,,,
2019-11-01,Morobo,Morobo,CentralEquatoria,Central Equatoria,137,6,,,,,
2019-11-01,Terekeka,Terekeka,CentralEquatoria,Central Equatoria,371,24,,,,,
2019-11-01,Yei,Yei,CentralEquatoria,Central Equatoria,254,19,,,,,
2019-11-01,Budi,Budi,EasternEquatoria,Eastern Equatoria,227,20,,,,,
2019-11-01,Ikotos,Ikotos,EasternEquatoria,Eastern Equatoria,231,0,,,,,
2019-11-01,KapoetaEast,Kapoeta East,EasternEquatoria,Eastern Equatoria,526,45,,,,,
2019-11-01,KapoetaNorth,Kapoeta North,EasternEquatoria,Eastern Equatoria,171,18,,,,,
2019-11-01,KapoetaSouth,Kapoeta South,EasternEquatoria,Eastern Equatoria,75,8,,,,,
2019-11-01,Lafon,Lafon,EasternEquatoria,Eastern Equatoria,99,0,,,,,
2019-11-01,Magwi,Magwi,EasternEquatoria,Eastern Equatoria,136,8,,,,,
2019-11-01,Torit,Torit,EasternEquatoria,Eastern Equatoria,242,18,,,,,
2019-11-01,Akobo,Akobo,Jonglei,Jonglei,189,48,,,,,
2019-11-01,Ayod,Ayod,Jonglei,Jonglei,274,38,,,,,
2019-11-01,BorSouth,Bor South,Jonglei,Jonglei,420,53,,,,,
2019-11-01,CanalPigi,Canal/Pigi,Jonglei,Jonglei,128,28,,,,,
2019-11-01,Duk,Duk,Jonglei,Jonglei,126,18,,,,,
2019-11-01,Fangak,Fangak,Jonglei,Jonglei,218,35,,,,,
2019-11-01,Nyirol,Nyirol,Jonglei,Jonglei,222,28,,,,,
2019-11-01,Pibor,Pibor,Jonglei,Jonglei,354,0,,,,,
2019-11-01,Pochalla,Pochalla,Jonglei,Jonglei,75,0,,,,,
2019-11-01,TwicEast,Twic East,Jonglei,Jonglei,222,23,,,,,
2019-11-01,Uror,Uror,Jonglei,Jonglei,212,26,,,,,
2019-11-01,Awerial,Awerial,Lakes,Lakes,203,72,,,,,
2019-11-01,Cueibet,Cueibet,Lakes,Lakes,388,20,,,,,
2019-11-01,RumbekCentre,Rumbek Centre,Lakes,Lakes,367,31,,,,,
2019-11-01,RumbekEast,Rumbek East,Lakes,Lakes,385,24,,,,,
2019-11-01,RumbekNorth,Rumbek North,Lakes,Lakes,116,8,,,,,
2019-11-01,Wulu,Wulu,Lakes,Lakes,138,7,,,,,
2019-11-01,YirolEast,Yirol East,Lakes,Lakes,367,68,,,,,
2019-11-01,YirolWest,Yirol West,Lakes,Lakes,359,64,,,,,
2019-11-01,AweilCentre,Aweil Centre,NorthernBahrelGhazal,Northern Bahr el Ghazal,217,46,,,,,
